%Depth:M	   Sw_deep:fract	Sw_x:fract
2097.9321	1.0000	0.8780
2098.0845	1.0000	0.8960
2098.2368	1.0000	0.9060
2098.3892	1.0000	1.0000
2098.5417	1.0000	0.9830
2098.6941	1.0000	0.9690
2098.8464	1.0000	0.9460
2098.9988	1.0000	0.9710
2099.1511	1.0000	0.9980
2099.3037	1.0000	0.9610
2099.4561	1.0000	0.9470
2099.6084	1.0000	1.0000
2099.7607	1.0000	1.0000
2099.9133	1.0000	1.0000
2100.0657	1.0000	1.0000
2100.2180	1.0000	1.0000
2100.3704	1.0000	1.0000
2100.5227	1.0000	1.0000
2100.6753	1.0000	1.0000
2100.8276	1.0000	1.0000
2100.9800	1.0000	1.0000
2101.1323	1.0000	1.0000
2101.2849	1.0000	1.0000
2101.4373	1.0000	1.0000
2101.5896	1.0000	1.0000
2101.7419	1.0000	1.0000
2101.8945	1.0000	1.0000
2102.0469	1.0000	1.0000
2102.1992	1.0000	1.0000
2102.3516	1.0000	1.0000
2102.5039	1.0000	1.0000
2102.6565	1.0000	1.0000
2102.8088	1.0000	1.0000
2102.9612	1.0000	1.0000
2103.1135	1.0000	1.0000
2103.2661	1.0000	1.0000
2103.4185	1.0000	1.0000
2103.5708	1.0000	1.0000
2103.7231	1.0000	1.0000
2103.8757	1.0000	1.0000
2104.0281	1.0000	1.0000
2104.1804	1.0000	1.0000
2104.3328	1.0000	1.0000
2104.4851	1.0000	1.0000
2104.6377	1.0000	1.0000
2104.7900	1.0000	1.0000
2104.9424	1.0000	1.0000
2105.0947	1.0000	1.0000
2105.2473	1.0000	1.0000
2105.3997	1.0000	1.0000
2105.5520	1.0000	1.0000
2105.7043	1.0000	1.0000
2105.8569	1.0000	1.0000
2106.0093	1.0000	1.0000
2106.1616	1.0000	1.0000
2106.3140	1.0000	1.0000
2106.4663	1.0000	1.0000
2106.6189	1.0000	1.0000
2106.7712	1.0000	1.0000
2106.9236	1.0000	1.0000
2107.0759	1.0000	1.0000
2107.2285	1.0000	1.0000
2107.3809	1.0000	1.0000
2107.5332	1.0000	1.0000
2107.6855	1.0000	1.0000
2107.8381	1.0000	1.0000
2107.9905	1.0000	1.0000
2108.1428	1.0000	1.0000
2108.2952	1.0000	1.0000
2108.4475	1.0000	1.0000
2108.6001	1.0000	1.0000
2108.7524	1.0000	1.0000
2108.9048	1.0000	1.0000
2109.0571	1.0000	1.0000
2109.2097	1.0000	1.0000
2109.3621	1.0000	1.0000
2109.5144	1.0000	1.0000
2109.6667	1.0000	1.0000
2109.8193	1.0000	1.0000
2109.9717	1.0000	1.0000
2110.1240	1.0000	1.0000
2110.2764	1.0000	1.0000
2110.4287	1.0000	0.9750
2110.5813	1.0000	0.9440
2110.7336	1.0000	1.0000
2110.8860	1.0000	1.0000
2111.0383	1.0000	1.0000
2111.1909	1.0000	1.0000
2111.3433	1.0000	0.9730
2111.4956	1.0000	1.0000
2111.6479	1.0000	1.0000
2111.8005	1.0000	1.0000
2111.9529	1.0000	1.0000
2112.1052	1.0000	1.0000
2112.2576	1.0000	1.0000
2112.4099	1.0000	1.0000
2112.5625	1.0000	1.0000
2112.7148	1.0000	1.0000
2112.8672	1.0000	1.0000
2113.0195	1.0000	1.0000
2113.1721	1.0000	1.0000
2113.3245	1.0000	1.0000
2113.4768	1.0000	1.0000
2113.6292	1.0000	1.0000
2113.7817	1.0000	1.0000
2113.9341	1.0000	1.0000
2114.0864	1.0000	1.0000
2114.2388	1.0000	1.0000
2114.3911	1.0000	1.0000
2114.5437	1.0000	1.0000
2114.6960	1.0000	1.0000
2114.8484	1.0000	1.0000
2115.0007	1.0000	1.0000
2115.1533	1.0000	1.0000
2115.3057	1.0000	1.0000
2115.4580	1.0000	1.0000
2115.6104	1.0000	1.0000
2115.7629	1.0000	1.0000
2115.9153	1.0000	1.0000
2116.0676	1.0000	1.0000
2116.2200	1.0000	1.0000
2116.3723	1.0000	0.9290
2116.5249	1.0000	1.0000
2116.6772	1.0000	1.0000
2116.8296	1.0000	1.0000
2116.9819	1.0000	1.0000
2117.1345	1.0000	1.0000
2117.2869	1.0000	1.0000
2117.4392	1.0000	1.0000
2117.5916	1.0000	1.0000
2117.7441	1.0000	1.0000
2117.8965	1.0000	1.0000
2118.0488	0.9700	1.0000
2118.2012	1.0000	1.0000
2118.3535	1.0000	1.0000
2118.5061	1.0000	1.0000
2118.6584	1.0000	1.0000
2118.8108	1.0000	1.0000
2118.9631	1.0000	1.0000
2119.1157	1.0000	1.0000
2119.2681	1.0000	1.0000
2119.4204	1.0000	1.0000
2119.5728	1.0000	1.0000
2119.7253	1.0000	1.0000
2119.8777	1.0000	1.0000
